SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
05 Продовольственные товары,0508 Смеси для выпечки и десертов,050802 Сухие компоненты,"05080203 Ванильный сахар, ванилин",Сахар ванильный Цикория 32г,756,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010305 Кукуруза,Кукуруза консервированная Бондюэль 340г,773,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,Жевательная резинка Ригли Сперминт,906,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,Жевательная резинка Орбит Зимняя свежесть,909,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,06010302 Сладкие газированные напитки,"Напиток газ Пепси-Кола 0,33л ж/б",922,
04 Замороженная продукция,0403 Рыба и морепродукты замороженные,040303 Крабовые палочки зам,04030301 Крабовые палочки зам,Палочки крабовые Вичи замороженные 100г,945,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110407 Прочие сладости прикасса,Конфеты Рондо Мята 30г,966,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010404 Йогурты,"Йогурт Фермерский Вишня/Черешня 3,5% 300г БЗМЖ",1001,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,"05110403 Шоколадные плитки, батончики, конфеты прикасса",Батончик шоколадный Марс 50г,1015,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,Приправа для курицы Цикория 40г,1028,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы","05070102 Приправы, смеси специй без соли",Приправа из смеси перцев Цикория 20г,1031,
04 Замороженная продукция,0403 Рыба и морепродукты замороженные,040303 Крабовые палочки зам,04030301 Крабовые палочки зам,Палочки крабовые Вичи замороженные 240г,1116,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071501 Пикник, отдых на природе","07150101 Уголь, дрова, розжиг",Спички,1161,
"06 Напитки, Табак",0607 Слабоалкогольные напитки,060701 Пиво,06070102 Пиво светлое,"Пиво светлое Балтика №3 0,5л 4,8%",1240,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия",070103 Чистящие моющие средства,07010301 Средства для мытья посуды,Средство для посуды Людвик 450мл Бальзам Лимон,1252,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110204 Конфеты в шоколаде фасованные,Батончик шоколадный Твикс минис 184г,1273,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020602 Прокладки в критич. дни,Прокладки Белла А10 Нова Классик Комфорт Драй,1348,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010404 Йогурты,"Йогурт Фермерский Черника 3,5% 300г БЗМЖ",1399,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020602 Прокладки в критич. дни,Прокладки Белла А10 Нова Макси,1406,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010404 Йогурты,"Йогурт Фермерский натуральный 3,5% 300г БЗМЖ",1420,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус","050601 Кетчупы, соусы на томатной основе",05060102 Кетчуп,Кетчуп Smart томатный 1кат нестерилизованный 280г,1450,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010404 Йогурты,"Йогурт Фермерский Крыжовник 3,5% 300г БЗМЖ",1474,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010404 Йогурты,"Йогурт Фермерский Земляника/Клубника 3,5% 300г БЗМЖ",1476,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус",050608 Уксус,05060801 Уксус столовый,Кислота уксусная 70% пищевая 180г,1481,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус","050601 Кетчупы, соусы на томатной основе",05060102 Кетчуп,Кетчуп Smart Острый 280г,1507,
